Sexo de la victima,Grupo de edad de la victima,Zona del Hecho,Escenario del Hecho,Mes del hecho,Dia del hecho,Rango de Hora del Hecho X 3 Horas,Departamento del hecho DANE,Mecanismo Causal,Diagnostico Topográfico de la Lesión,Presunto Agresor,Pertenencia Grupal,Escolaridad,Ancestro Racial
Hombre,(40 a 44),Parte rural (vereda y campo),centros educativos,Enero,Viernes,15:00 a 17:59,Antioquia,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Persona en condición de desplazamiento,Educación inicial y educación preescolar,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Enero,Jueves,03:00 a 05:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Enero,Jueves,06:00 a 08:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Enero,Jueves,06:00 a 08:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Mujer,(35 a 39),Cabecera municipal,vía pública,Enero,Jueves,09:00 a 11:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Conocido sin ningun trato,Ninguno,Educación inicial y educación preescolar,Negro
Hombre,(15 a 17),Cabecera municipal,vía pública,Enero,Jueves,18:00 a 20:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Enero,Jueves,12:00 a 14:59,Atlántico,Proyectil de arma de fuego,Trauma de miembros,Policía,Ninguno,Educación inicial y educación preescolar,Negro
Hombre,(18 a 19),Cabecera municipal,vía pública,Enero,Viernes,18:00 a 20:59,Atlántico,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Enero,Sábado,03:00 a 05:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(30 a 34),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Enero,Domingo,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Enero,Lunes,15:00 a 17:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación técnica profesional y tecnológica,Blanco
Mujer,(35 a 39),Cabecera municipal,vivienda,Enero,Martes,03:00 a 05:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(35 a 39),"Centro poblado(corregimiento, inspección de policía y caserío)",otros,Enero,Lunes,06:00 a 08:59,Magdalena,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Campesinos (as) y/o trabajadores (as) del campo,Educación inicial y educación preescolar,Mestizo
Hombre,(75 a 79),Cabecera municipal,vivienda,Enero,Domingo,15:00 a 17:59,Atlántico,Corto punzante,Politraumatismo,Sin información,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Enero,Miércoles,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Otro,Educación media o secundaria alta,Mestizo
Hombre,(00 a 04),Cabecera municipal,vivienda,Enero,Miércoles,15:00 a 17:59,Atlántico,Contundente,Politraumatismo,Padrastro,Ninguno,Sin escolaridad,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Enero,Jueves,06:00 a 08:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Sin escolaridad,Mestizo
Hombre,(55 a 59),Cabecera municipal,vía pública,Enero,Jueves,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(35 a 39),Cabecera municipal,"parqueaderos, estacionamientos",Enero,Sábado,06:00 a 08:59,Atlántico,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Educación técnica profesional y tecnológica,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Enero,Domingo,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Sin información
Hombre,(18 a 19),Cabecera municipal,vía pública,Enero,Domingo,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Enero,Lunes,00:00 a 02:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Sin escolaridad,Mestizo
Hombre,(30 a 34),Cabecera municipal,vivienda,Enero,Lunes,03:00 a 05:59,Atlántico,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Enero,Lunes,00:00 a 02:59,Atlántico,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(35 a 39),Cabecera municipal,vía pública,Enero,Domingo,00:00 a 02:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Enero,Domingo,21:00 a 23:59,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Enero,Viernes,12:00 a 14:59,Atlántico,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(35 a 39),Cabecera municipal,vivienda,Enero,Jueves,03:00 a 05:59,Magdalena,Corto punzante,Trauma de Tórax,Conocido sin ningun trato,Campesinos (as) y/o trabajadores (as) del campo,Educación inicial y educación preescolar,Mestizo
Hombre,(70 a 74),Cabecera municipal,vivienda,Enero,Miércoles,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de cuello,Agresor desconocido,Campesinos (as) y/o trabajadores (as) del campo,Sin información,Mestizo
Mujer,(55 a 59),Cabecera municipal,vivienda,Enero,Viernes,Sin información,Atlántico,Proyectil de arma de fuego,Trauma de cuello,Agresor desconocido,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(10 a 14),Cabecera municipal,áreas deportivas y/o recreativas,Enero,Sábado,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Enero,Domingo,Sin información,Atlántico,Contundente,Politraumatismo,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(20 a 24),Cabecera municipal,vía pública,Enero,Martes,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(45 a 49),Cabecera municipal,vía pública,Enero,Jueves,Sin información,Atlántico,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(35 a 39),Cabecera municipal,vivienda,Enero,Viernes,09:00 a 11:59,Atlántico,Corto punzante,Politraumatismo,Conocido sin ningun trato,Sector social LGBTI (OSIGD),Educación media o secundaria alta,Mestizo
Hombre,(25 a 29),Cabecera municipal,vehículo servicio público,Enero,Jueves,Sin información,Santander,Corto punzante,Politraumatismo,Delincuencia común,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(15 a 17),Cabecera municipal,vía pública,Enero,Jueves,Sin información,Santander,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Mujer,(35 a 39),Cabecera municipal,vivienda,Enero,Lunes,15:00 a 17:59,Santander,Proyectil de arma de fuego,Politraumatismo,Compañero (a) permanente,Ninguno,Educación básica primaria,Mestizo
Hombre,(18 a 19),Cabecera municipal,vía pública,Enero,Martes,18:00 a 20:59,Santander,Proyectil de arma de fuego,Trauma de Tórax,Pandillas,Ninguno,Educación básica primaria,Mestizo
Hombre,(50 a 54),Cabecera municipal,vía pública,Enero,Lunes,00:00 a 02:59,Santander,Corto punzante,Politraumatismo,Amigo (a),Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Enero,Lunes,12:00 a 14:59,Santander,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(15 a 17),Cabecera municipal,vía pública,Enero,Martes,06:00 a 08:59,Santander,Corto punzante,Politraumatismo,Pandillas,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(18 a 19),Cabecera municipal,vía pública,Enero,Jueves,21:00 a 23:59,Santander,Corto punzante,Trauma de Tórax,Amigo (a),Ninguno,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,vía pública,Enero,Sábado,Sin información,Santander,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(18 a 19),Cabecera municipal,vía pública,Enero,Lunes,18:00 a 20:59,Santander,Proyectil de arma de fuego,Trauma craneano,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(35 a 39),Cabecera municipal,"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Enero,Viernes,Sin información,Antioquia,Proyectil de arma de fuego,Politraumatismo,Fuerzas militares,Ninguno,Educación inicial y educación preescolar,Mestizo
Mujer,(20 a 24),Cabecera municipal,vivienda,Enero,Jueves,Sin información,Santander,Proyectil de arma de fuego,Trauma de Tórax,Compañero (a) permanente,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(15 a 17),Parte rural (vereda y campo),vía pública,Enero,Jueves,Sin información,Valle del Cauca,Corto punzante,Politraumatismo,Sin información,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(15 a 17),Parte rural (vereda y campo),áreas deportivas y/o recreativas,Enero,Jueves,Sin información,Valle del Cauca,Corto punzante,Politraumatismo,Sin información,Ninguno,Educación inicial y educación preescolar,Mestizo
Mujer,(45 a 49),Sin información,vía pública,Enero,Sábado,18:00 a 20:59,Valle del Cauca,Proyectil de arma de fuego,Politraumatismo,Sin información,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(45 a 49),Parte rural (vereda y campo),vía pública,Enero,Domingo,09:00 a 11:59,Valle del Cauca,Proyectil de arma de fuego,Politraumatismo,Sin información,Ninguno,Sin información,Mestizo
Hombre,(30 a 34),Cabecera municipal,lugar público sin otra indicación,Enero,Martes,00:00 a 02:59,Valle del Cauca,Corto punzante,Politraumatismo,Sin información,Persona adicta a una droga natural o sintética,Educación media o secundaria alta,Mestizo
Hombre,(20 a 24),Cabecera municipal,"calle (autopista, avenida, dentro de la ciudad)",Enero,Martes,18:00 a 20:59,Valle del Cauca,Proyectil de arma de fuego,Trauma de Tórax,Sin información,Ninguno,Sin información,Mestizo
Mujer,(55 a 59),Parte rural (vereda y campo),carretera (fuera de la ciudad),Enero,Sábado,Sin información,Valle del Cauca,Contundente,Trauma craneano,Agresor desconocido,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(45 a 49),Parte rural (vereda y campo),vía pública,Enero,Jueves,Sin información,Valle del Cauca,Corto punzante,Politraumatismo,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Enero,Sábado,09:00 a 11:59,Valle del Cauca,Proyectil de arma de fuego,Trauma craneano,Sin información,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(15 a 17),Cabecera municipal,vía pública,Enero,Jueves,03:00 a 05:59,Valle del Cauca,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(15 a 17),Cabecera municipal,vía pública,Enero,Jueves,00:00 a 02:59,Valle del Cauca,Proyectil de arma de fuego,Trauma craneano,Delincuencia común,Ninguno,Educación básica primaria,Mestizo
Mujer,(65 a 69),Cabecera municipal,vía pública,Enero,Sábado,Sin información,Valle del Cauca,Corto punzante,Trauma de miembros,Otros familiares civiles o consanguíneos,Ninguno,Educación básica primaria,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Enero,Lunes,18:00 a 20:59,Valle del Cauca,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Persona adicta a una droga natural o sintética,Educación básica primaria,Mestizo
Hombre,(45 a 49),Cabecera municipal,vía pública,Enero,Sábado,06:00 a 08:59,Valle del Cauca,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Sin información,Mulato
Hombre,(40 a 44),Cabecera municipal,vía pública,Abril,Martes,15:00 a 17:59,La Guajira,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(40 a 44),Cabecera municipal,vivienda,Enero,Sábado,15:00 a 17:59,Valle del Cauca,Proyectil de arma de fuego,Trauma de Tórax,Fuerzas militares,Ninguno,Sin información,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Enero,Sábado,21:00 a 23:59,Valle del Cauca,Proyectil de arma de fuego,Politraumatismo,Sin información,Ninguno,Sin información,Mestizo
Hombre,(15 a 17),Cabecera municipal,vía pública,Enero,Lunes,18:00 a 20:59,Valle del Cauca,Proyectil de arma de fuego,Trauma craneano,Pandillas,Otro,Educación inicial y educación preescolar,Mestizo
Hombre,(50 a 54),Cabecera municipal,vivienda,Mayo,Lunes,Sin información,Casanare,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(60 a 64),Cabecera municipal,otros,Enero,Lunes,15:00 a 17:59,Valle del Cauca,Corto punzante,Trauma de Tórax,Sin información,Ninguno,Sin información,Mestizo
Hombre,(25 a 29),Cabecera municipal,vivienda,Julio,Domingo,06:00 a 08:59,Risaralda,Proyectil de arma de fuego,Politraumatismo,Sin información,Ninguno,Sin información,Mestizo
Hombre,(18 a 19),Cabecera municipal,"calle (autopista, avenida, dentro de la ciudad)",Enero,Jueves,Sin información,Bolívar,Corto punzante,Politraumatismo,Agresor desconocido,Otro,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Enero,Sábado,Sin información,Bolívar,Proyectil de arma de fuego,Trauma de abdomen,Agresor desconocido,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(20 a 24),Cabecera municipal,"calle (autopista, avenida, dentro de la ciudad)",Enero,Domingo,00:00 a 02:59,Bolívar,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Otro,Educación media o secundaria alta,Mestizo
Mujer,(20 a 24),Parte rural (vereda y campo),"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Enero,Domingo,Sin información,Bolívar,Contundente,Politraumatismo,Agresor desconocido,Ninguno,Educación básica primaria,Blanco
Hombre,(20 a 24),Cabecera municipal,"calle (autopista, avenida, dentro de la ciudad)",Enero,Martes,Sin información,Bolívar,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Enero,Jueves,Sin información,Bolívar,Proyectil de arma de fuego,Trauma de miembros,Agresor desconocido,Ninguno,Educación media o secundaria alta,Blanco
Mujer,(25 a 29),Cabecera municipal,vivienda,Enero,Sábado,Sin información,Bolívar,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(30 a 34),Cabecera municipal,vía pública,Enero,Domingo,Sin información,Bolívar,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(25 a 29),Cabecera municipal,vivienda,Enero,Lunes,Sin información,Bolívar,Corto punzante,Politraumatismo,Otros familiares civiles o consanguíneos,Ninguno,Educación inicial y educación preescolar,Negro
Hombre,(18 a 19),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Enero,Sábado,21:00 a 23:59,Caldas,Corto punzante,Trauma de Tórax,Conocido sin ningun trato,Ninguno,Sin escolaridad,Mestizo
Hombre,(35 a 39),Cabecera municipal,"calle (autopista, avenida, dentro de la ciudad)",Enero,Miércoles,12:00 a 14:59,Caldas,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,"calle (autopista, avenida, dentro de la ciudad)",Enero,Miércoles,18:00 a 20:59,Caldas,Proyectil de arma de fuego,Trauma de Tórax,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(20 a 24),Parte rural (vereda y campo),carretera (fuera de la ciudad),Enero,Miércoles,21:00 a 23:59,Cesar,Proyectil de arma de fuego,Politraumatismo,Policía,Ninguno,Educación básica primaria,Mestizo
Hombre,(40 a 44),Parte rural (vereda y campo),lugares de esparcimiento con expendio de alcohol,Enero,Domingo,00:00 a 02:59,Cundinamarca,Corto punzante,Trauma de miembros,Hermano (a),Ninguno,Sin información,Mestizo
Hombre,(20 a 24),Parte rural (vereda y campo),guarniciones militares y/o de policía,Enero,Miércoles,18:00 a 20:59,Santander,Proyectil de arma de fuego,Trauma de Tórax,Compañero (a) de trabajo,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(18 a 19),Cabecera municipal,vivienda,Enero,Miércoles,12:00 a 14:59,Norte de Santander,Proyectil de arma de fuego,Trauma craneano,Sin información,Ninguno,Sin información,Mestizo
Hombre,(25 a 29),Parte rural (vereda y campo),centros de reclusión,Enero,Viernes,Sin información,Boyacá,Corto punzante,Trauma de abdomen,Conocido sin ningun trato,Persona bajo custodia,Sin información,Mestizo
Hombre,(25 a 29),Parte rural (vereda y campo),vía pública,Enero,Viernes,21:00 a 23:59,Cundinamarca,Corto punzante,Trauma de Tórax,Delincuencia común,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(25 a 29),Parte rural (vereda y campo),"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Enero,Viernes,Sin información,Caquetá,Proyectil de arma de fuego,Trauma de Tórax,FARC,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(30 a 34),Parte rural (vereda y campo),"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Enero,Sábado,Sin información,Caquetá,Proyectil de arma de fuego,Politraumatismo,Otras guerrillas,Presunto colaborador de grupo ilegal,Educación inicial y educación preescolar,Mestizo
Hombre,(30 a 34),Parte rural (vereda y campo),"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Enero,Viernes,09:00 a 11:59,Caquetá,Proyectil de arma de fuego,Trauma craneano,Fuerzas militares,Ninguno,Sin información,Sin información
Hombre,(20 a 24),Cabecera municipal,vivienda,Enero,Domingo,Sin información,Magdalena,Proyectil de arma de fuego,Politraumatismo,Agresor desconocido,Ninguno,Sin información,Sin información
Hombre,(50 a 54),Cabecera municipal,vía pública,Enero,Domingo,Sin información,Magdalena,Corto contundente,Trauma de cuello,Otros familiares civiles o consanguíneos,Ninguno,Sin escolaridad,Mestizo
Hombre,(20 a 24),Parte rural (vereda y campo),zonas de actividades agropecuarias,Enero,Sábado,18:00 a 20:59,Tolima,Proyectil de arma de fuego,Trauma de Tórax,Sin información,Ninguno,Sin información,Mestizo
Hombre,(30 a 34),Cabecera municipal,"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Enero,Jueves,03:00 a 05:59,Nariño,Corto punzante,Politraumatismo,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(30 a 34),Cabecera municipal,"espacios terrestres al aire libre (bosque, potrero, montaña, playa, etc.)",Enero,Martes,03:00 a 05:59,Nariño,Corto punzante,Politraumatismo,Conocido sin ningun trato,Campesinos (as) y/o trabajadores (as) del campo,Sin información,Mestizo
Hombre,(65 a 69),"Centro poblado(corregimiento, inspección de policía y caserío)",vivienda,Enero,Lunes,18:00 a 20:59,Nariño,Corto punzante,Politraumatismo,Delincuencia común,Campesinos (as) y/o trabajadores (as) del campo,Sin información,Mestizo
Hombre,(15 a 17),Cabecera municipal,vivienda,Enero,Lunes,15:00 a 17:59,Antioquia,Corto punzante,Trauma de Tórax,Padrastro,Ninguno,Educación media o secundaria alta,Mestizo
Mujer,(50 a 54),Cabecera municipal,lugar público sin otra indicación,Enero,Jueves,Sin información,Caldas,Generadores de asfixia,Trauma de cuello,Amante,Ninguno,Educación básica primaria,Mestizo
Hombre,(20 a 24),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Enero,Lunes,Sin información,Caldas,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Hombre,(40 a 44),Cabecera municipal,vivienda,Enero,Martes,Sin información,Caldas,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Persona adicta a una droga natural o sintética,Sin información,Sin información
Hombre,(25 a 29),"Centro poblado(corregimiento, inspección de policía y caserío)","calle (autopista, avenida, dentro de la ciudad)",Enero,Jueves,03:00 a 05:59,Huila,Corto punzante,Trauma de Tórax,Agresor desconocido,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(20 a 24),Parte rural (vereda y campo),carretera (fuera de la ciudad),Enero,Lunes,21:00 a 23:59,Huila,Proyectil de arma de fuego,Trauma craneano,Sin información,Ninguno,Sin información,Mestizo
Hombre,(65 a 69),Parte rural (vereda y campo),carretera (fuera de la ciudad),Enero,Domingo,Sin información,Tolima,Proyectil de arma de fuego,Trauma de Tórax,Delincuencia común,Campesinos (as) y/o trabajadores (as) del campo,Educación inicial y educación preescolar,Mestizo
Hombre,(40 a 44),Cabecera municipal,vivienda,Enero,Lunes,18:00 a 20:59,La Guajira,Proyectil de arma de fuego,Trauma de abdomen,Sin información,Ninguno,Educación inicial y educación preescolar,Mulato
Hombre,(30 a 34),Cabecera municipal,vivienda,Enero,Jueves,Sin información,La Guajira,Proyectil de arma de fuego,Trauma craneano,Agresor desconocido,Ninguno,Educación media o secundaria alta,Indigena
Hombre,(20 a 24),Cabecera municipal,vía pública,Enero,Martes,21:00 a 23:59,La Guajira,Proyectil de arma de fuego,Trauma de abdomen,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(30 a 34),Cabecera municipal,vivienda,Enero,Jueves,15:00 a 17:59,La Guajira,Proyectil de arma de fuego,Politraumatismo,Sin información,Ninguno,Educación media o secundaria alta,Mestizo
Hombre,(18 a 19),Cabecera municipal,vía pública,Enero,Viernes,18:00 a 20:59,Caldas,Proyectil de arma de fuego,Trauma craneano,Sin información,Otro,Educación básica primaria,Mestizo
Hombre,(18 a 19),Cabecera municipal,"calle (autopista, avenida, dentro de la ciudad)",Enero,Viernes,Sin información,Caldas,Proyectil de arma de fuego,Trauma craneano,Delincuencia común,Otro,Educación básica primaria,Mestizo
Hombre,(25 a 29),Cabecera municipal,"centro de atención médica (hospital, clínica, consultorio, etc.)",Enero,Jueves,12:00 a 14:59,Caldas,Proyectil de arma de fuego,Trauma de Tórax,Sin información,Ninguno,Educación básica primaria,Mestizo
Hombre,(40 a 44),Parte rural (vereda y campo),lugares de esparcimiento con expendio de alcohol,Enero,Jueves,Sin información,Caldas,Corto contundente,Trauma de Tórax,Agresor desconocido,Ninguno,Educación inicial y educación preescolar,Mestizo
Mujer,(30 a 34),Parte rural (vereda y campo),zonas de actividades agropecuarias,Enero,Jueves,06:00 a 08:59,Caldas,Proyectil de arma de fuego,Trauma de Tórax,Otros familiares civiles o consanguíneos,Campesinos (as) y/o trabajadores (as) del campo,Educación inicial y educación preescolar,Mestizo
Hombre,(40 a 44),Cabecera municipal,vía pública,Enero,Jueves,00:00 a 02:59,Antioquia,Proyectil de arma de fuego,Trauma craneano,Sin información,Ninguno,Sin información,Mestizo
Hombre,(25 a 29),Parte rural (vereda y campo),vía pública,Enero,Jueves,09:00 a 11:59,Antioquia,Corto contundente,Trauma craneano,Agresor desconocido,Ninguno,Sin información,Mestizo
Hombre,(40 a 44),Cabecera municipal,lugares de esparcimiento con expendio de alcohol,Enero,Jueves,06:00 a 08:59,Antioquia,Corto punzante,Trauma de Tórax,Otros familiares civiles o consanguíneos,Ninguno,Sin información,Sin información
